#arb_time(seconds) flux_density(Jy/beam)
2.244469397600000259e+06 3.457459999999999978e-01
2.244469897600000259e+06 -5.678659999999999819e-01
2.244470397600000259e+06 7.477120000000000433e-01
2.244470897600000259e+06 5.857740000000000169e-01
2.244471397600000259e+06 -4.117480000000000029e-01
2.244471897600000259e+06 3.898889999999999856e-01
2.244472397600000259e+06 5.018279999999999963e-02
2.244472897600000259e+06 -4.366120000000000001e-01
2.244473397600000259e+06 -7.176960000000000006e-01
2.244473897600000259e+06 2.485829999999999984e-01
2.244474397600000259e+06 -1.291200000000000125e-01
2.244474897600000259e+06 -8.161970000000000336e-02
2.244475397600000259e+06 -2.464589999999999836e-02
2.244475897600000259e+06 -4.802750000000000075e-01
2.244476397600000259e+06 -1.892220000000000013e-01
2.244476897600000259e+06 -2.084439999999999904e-01
2.244477397600000259e+06 -4.599039999999999795e-01
2.244477897600000259e+06 -2.124429999999999930e-01
2.244478397600000259e+06 -9.225200000000000067e-01
2.244478897600000259e+06 -2.794179999999999997e-01
2.244479397600000259e+06 4.113909999999999789e-02
2.244479897600000259e+06 5.542850000000000277e-01
2.244480397600000259e+06 -2.922320000000000126e-02
2.244480897600000259e+06 -1.872129999999999905e-01
2.244481397600000259e+06 -9.824199999999999600e-02
2.244481897600000259e+06 -7.095310000000000228e-01
2.244482397600000259e+06 -8.709129999999999650e-02
2.244482897600000259e+06 -7.214789999999999814e-01
2.244483397600000259e+06 -2.553119999999999834e-01
2.244483897600000259e+06 3.547440000000000038e-01
2.244484397600000259e+06 -1.613779999999999937e-01
2.244484897600000259e+06 1.091870000000000063e-01
2.244485397600000259e+06 2.171289999999999887e-01
2.244485897600000259e+06 5.312270000000000048e-01
2.244486397600000259e+06 -6.255319999999999769e-01
2.244486897600000259e+06 5.072969999999999979e-01
2.244487397600000259e+06 1.562240000000000018e-01
2.244487897600000259e+06 -3.269919999999999771e-02
2.244488397600000259e+06 4.289569999999999772e-01
2.244488897600000259e+06 6.295539999999999470e-02
2.244489397600000259e+06 5.740720000000000267e-01
2.244489897600000259e+06 -6.190309999999999979e-01
2.244490397600000259e+06 1.259129999999999971e-01
2.244490897600000259e+06 -8.489600000000000479e-01
2.244491397600000259e+06 -4.682499999999999996e-01
2.244491897600000259e+06 1.587939999999999907e-01
2.244492397600000259e+06 5.387499999999999512e-01
2.244492897600000259e+06 -9.960099999999999509e-01
2.244493397600000259e+06 3.842260000000000120e-01
2.244493897600000259e+06 -3.377370000000000094e-01
2.244494397600000259e+06 -1.244309999999999999e-01
2.244494897600000259e+06 -1.225019999999999998e-01
2.244495397600000259e+06 -3.142719999999999958e-01
2.244495897600000259e+06 -2.656899999999999817e-01
2.244496397600000259e+06 -2.157970000000000027e-02
2.244496897600000259e+06 -2.717769999999999908e-01
2.244497397600000259e+06 -3.085040000000000004e-01
2.244497897600000259e+06 -2.270119999999999916e-01
2.244498397600000259e+06 6.164469999999999672e-01
2.244498897600000259e+06 -2.349299999999999999e-01
2.244499397600000259e+06 7.789840000000000098e-01
2.244499897600000259e+06 -5.525080000000000269e-02
2.244500397600000259e+06 -2.389200000000000004e-02
